번호,유적명,유구명,유형,매장주체부,장축방향,길이(m),넓이(m),높이(m),출전,비고,지역
1351,아산 명암리 밖지므레(3지점),14호 토광묘,토광묘,목관,N176S,2.81,0.84,*0.12,"충청남도역사문화연구원, 2011",,아산
1877,청주 오송유적(7지점),2호 토광묘,토광묘,?,N89W,2.81,1.19,*0.35,"중앙문화재연구원, 2019",,청주
1991,청주 오송유적(4지점),93호 토광묘,토광묘,?,N84E,2.81,0.91,*0.18,"중앙문화재연구원, 2019",,청주
3302,청주 송절동 Ⅱ지구,1지점 2호 토광묘,토광묘,목곽,N8W,2.81,0.91,*0.40,"호서문화연구원, 2018",,청주
639,홍산-구룡간(대덕리 '가' 유적),KM-002,주구토광묘,목관,N49W,2.82,0.98,0.18,"고려대학교 고고환경연구소, 2006",,홍산
1386,아산 명암리 밖지므레(3지점),15호 주구토광묘,토광묘,목관,N164S,2.82,0.87,*0.24,"충청남도역사문화연구원, 2011",,아산
2396,청주 오송유적(13지점),2호 토광묘,토광묘,목곽,N83W,2.82,1.16,*0.11,"중앙문화재연구원, 2019",,청주
2826,청주 송절동  V지구 2지점,11호 토광묘,토광묘,목곽,N87w,2.82,1.31,*1.2,,,청주
3147,아산 북수리,95호 묘,토광묘,목관,N42E,2.82,0.95,0.47,"중부고고학연구소, 2018",,아산
3171,아산 북수리,119호 묘,토광묘,목관,N13W,2.82,0.95,0.3,"중부고고학연구소, 2018",,아산
3207,아산 북수리,155호 묘,토광묘,목관,N26E,2.82,0.82,*0.27,"중부고고학연구소, 2018",,아산
3306,청주 송절동 Ⅱ지구,1지점 6호 토광묘,토광묘,목곽,N41E,2.82,1.03,*0.15,"호서문화유산연구원, 2018",,청주
3458,청주 신봉동 고분군,31호분,토광묘,?,N60E,2.82,0.96,*0.56,"충북대학교박물관, 1995",,청주
3502,청주 신봉동 고분군,75호분,토광묘,목관,N10E,2.82,1.58,*0.54,"충북대학교박물관, 1995",,청주
3513,청주 신봉동 고분군,85호분,토광묘,직장,N50E,2.82,2.32,*0.48,"충북대학교박물관, 1995",,청주
1010,충주 금릉동 301-4번지,30호 토광묘,토광묘,목관,N71E,2.83,1.05,0.62,"호서문화유산연구원 66, 2021",,충주
1037,공주 장원리 장재울,24호 주구토광묘,주구토광묘,목관,N21W,2.83,0.74,*0.18,"비전문화재연구원 2, 2020",,공주
2117,청주 오송유적(4지점),217호 토광묘,주구토광묘,목곽,N68E,2.83,1.02,*0.17,"중앙문화재연구원, 2019",,청주
2140,청주 오송유적(4지점),240호 토광묘,토광묘,목곽,N16W,2.83,0.94,*0.16,"중앙문화재연구원, 2019",,청주
2199,청주 오송유적(4지점),299호 토광묘,토광묘,?,N64W,2.83,0.53,*0.51,"중앙문화재연구원, 2019",,청주
2290,청주 오송유적(9지점),53호 토광묘,토광묘,목곽,N42E,2.83,*0.91,*0.34,"중앙문화재연구원, 2019",,청주
2824,청주 송절동  V지구 2지점,9호 토광묘,토광묘,목곽,n72e,2.83,1.2,*0.71,,,청주
3132,아산 북수리,80호 묘,토광묘,목관,N48E,2.83,1.08,0.64,"중부고고학연구소, 2018",,아산
3165,아산 북수리,113호 묘,토광묘,목관,N17E,2.83,0.91,0.3,"중부고고학연구소, 2018",,아산
3301,청주 송절동 Ⅱ지구,1지점 1호 토광묘,토광묘,목관,N51E,2.83,1.02,*0.38,"호서문화연구원, 2018",,청주
61,공주 하봉리,11호묘,토광묘,목관,N37E,2.84,0.91,*0.21,"국립공주박물관, 1995",,공주
239,청주 신봉동 백제고분군,A-19호분,토광묘,?,N25E,2.84,*1.20,0.68,"충북대학교박물관 87, 2002",,청주
241,청주 신봉동 백제고분군,A-21호분,토광묘,?,N15W,2.84,*1.16,0.64,"충북대학교박물관 87, 2002",,청주
1153,천안 대화리·신풍리,KM-057,토광묘,목곽,N25E,2.84,1.4,0.5,"한국고고환경연구소 59, 2014",,천안
1812,청주 오송유적(3지점),7호 토광묘,주구토광묘,?,N81E,2.84,*0.64,*0.16,"중앙문화재연구원, 2019",,청주
2010,청주 오송유적(4지점),111호 토광묘,토광묘,목관,N63W,2.84,0.88,*0.21,"중앙문화재연구원, 2019",,청주
2089,청주 오송유적(4지점),189호 토광묘,토광묘,?,N84W,2.84,0.84,*0.23,"중앙문화재연구원, 2019",,청주
3068,아산 북수리,16호 묘,토광묘,목관,N53E,2.84,1.15,0.31,"중부고고학연구소, 2018",,아산
3103,아산 북수리,51호 묘,토광묘,목관,N12E,2.84,1.27,0.45,"중부고고학연구소, 2018",,아산
3141,아산 북수리,89호 묘,토광묘,목관,N61E,2.84,0.96,0.38,"중부고고학연구소, 2018",,아산
3337,청주 송절동 Ⅱ지구,1지점 37호 토광묘,토광묘,목곽,N8E,2.84,1.04,*0.3,"호서문화유산연구원, 2018",,청주
3621,서천 장항,1구역 3호 석곽묘,토광묘,석곽,북서-남동,2.84,1.34,*0.53,"경상문화재연구원, 2023",,서천
1331,아산 명암리 밖지므레(2-2지점),1호 옹관묘,옹관묘,옹관,N77S,0.69,0.59,*0.07,"충청남도역사문화연구원, 2011",,아산
1332,아산 명암리 밖지므레(2-2지점),2호 옹관묘,옹관묘,옹관,N44S,1.27,0.78,*0.18,"충청남도역사문화연구원, 2011",,아산
1333,아산 명암리 밖지므레(2-2지점),3호 옹관묘,옹관묘,옹관,N122S,1.13,0.37,*0.11,"충청남도역사문화연구원, 2011",,아산
1334,아산 명암리 밖지므레(2-2지점),4호 옹관묘,옹관묘,옹관,N122S,1.18,0.57,*0.13,"충청남도역사문화연구원, 2011",,아산
1335,아산 명암리 밖지므레(2-2지점),5호 옹관묘,옹관묘,옹관,N73S,0.8,0.51,*0.09,"충청남도역사문화연구원, 2011",,아산
1336,아산 명암리 밖지므레(2-2지점),6호 옹관묘,옹관묘,옹관,N68S,0.9,0.85,*0.17,"충청남도역사문화연구원, 2011",,아산
39,청주 신봉동,토광묘 11호,토광묘,목관,북서-동남,2.85,1.4,?,"충북대학교박물관 7, 1983",,청주
47,청주 송절동,원삼국시대 3호분,토광묘,목관,N45E,2.85,1.1,0.98,"문화재연구소, 1994",,청주
52,공주 하봉리,4호묘,토광묘,목관,W11N,2.85,0.81,*0.16,"국립공주박물관, 1995",,공주
220,대전 대정동,3-1지구 KM-001호 토광묘,토광묘,목관,N25E,2.85,0.8,*0.24,"고려대학교 매장문화재연구소 14, 2002 ",,대전
712,충주 금릉동,2호 토광묘,토광묘,목관,S78E,2.85,0.95,0.43,"충북대학교박물관 112, 2004",,충주
717,충주 금릉동,7호 토광묘,토광묘,목관,S76E,2.85,0.98,0.8,"충북대학교박물관 112, 2004",,충주
799,충주 금릉동,83호 토광묘,토광묘,목관,N24W,2.85,0.9,0.85,"충북대학교박물관 112, 2004",,충주
836,충주 금릉동,114호 토광묘,토광묘,목관,N63W,2.85,0.95,1.05,"충북대학교박물관 112, 2004",,충주
855,충주 금릉동,133호 토광묘,토광묘,목관,S77E,2.85,0.9,0.61,"충북대학교박물관 112, 2004",,충주
866,충주 금릉동,144-1호 토광묘,토광묘,목관,N65W,2.85,0.75,0.35,"충북대학교박물관 112, 2004",,충주
1119,천안 대화리·신풍리,KM-023,토광묘,?,N5W,2.85,*0.78,0.13,"한국고고환경연구소 59, 2014",,천안
1357,아산 명암리 밖지므레(3지점),20호 토광묘,토광묘,목관,N134S,2.85,0.7,*0.13,"충청남도역사문화연구원, 2011",,아산
1523,청주 송절동 I지구 6지점,16호 토광묘,토광묘,?,N25e,2.85,0.5,0.19,,,청주
1745,예산 목리·신리 유적,171호분(3-2지점),토광묘,석실,N9W,2.85,1.71,0.2,"충청문화재연구원, 2014",,예산
2078,청주 오송유적(4지점),178호 토광묘,토광묘,?,N70W,2.85,0.97,*0.24,"중앙문화재연구원, 2019",,청주
2137,청주 오송유적(4지점),237호 토광묘,주구토광묘,?,N61E,2.85,*0.78,*0.05,"중앙문화재연구원, 2019",,청주
2215,청주 오송유적(4지점),315호 토광묘,토광묘,?,N34E,2.85,*0.92,*0.07,"중앙문화재연구원, 2019",,청주
3152,아산 북수리,100호 묘,토광묘,목관,N25E,2.85,0.93,0.3,"중부고고학연구소, 2018",,아산
3153,아산 북수리,101호 묘,토광묘,목관,N63E,2.85,1.06,0.92,"중부고고학연구소, 2018",,아산
3159,아산 북수리,107호 묘,토광묘,목관,N41E,2.85,0.76,0.25,"중부고고학연구소, 2018",,아산
8,천안 청당동,라지구 19호묘,주구토광묘,목관,N49W,2.86,1.08,*0.5,"국립중앙박물관 25, 1993",,천안
272,청주 오송(2지점),31호 토광묘,토광묘,?,N26W,2.86,1.28,*0.12,"중앙문화재연구원, 2019",,청주
521,청주 신봉동 고분군,13호 토광묘,토광묘,?,N40E,2.86,1.51,*0.52,"충북대학교박물관 107, 2003",,청주
692,서산 여미리 방죽골,16호 토광묘,토광묘,목관,N38W,2.86,0.86,*0.22,"충청문화재연구원, 2005",,서산
1277,아산 명암리 밖지므레(2-2지점),13호 토광묘,토광묘,목관,N21S,2.86,*0.87,*0.12,"충청남도역사문화연구원, 2011",,아산
1912,청주 오송유적(4지점),14호 토광묘,토광묘,목곽,EW,2.86,1.03,*0.28,"중앙문화재연구원, 2019",,청주
2133,청주 오송유적(4지점),233호 토광묘,주구토광묘,목곽,N70E,2.86,*0.91,*0.19,"중앙문화재연구원, 2019",,청주
2489,청주 오송유적(17지점),6호 토광묘,주구토광묘,?,N15W,2.86,*1.32,*0.25,"중앙문화재연구원, 2019",,청주
3062,아산 북수리,10호 묘,토광묘,목곽 + 목관,N18E,2.86,1.26,0.48,"중부고고학연구소, 2018",,아산
3321,청주 송절동 Ⅱ지구,1지점 21호 토광묘,토광묘,목곽,N63E,2.86,1.05,*0.55,"호서문화유산연구원, 2018",,청주
3326,청주 송절동 Ⅱ지구,1지점 26호 토광묘,토광묘,목곽,N55E,2.86,1.14,*0.32,"호서문화유산연구원, 2018",,청주
3546,청주 신봉동 고분군,13호,토광묘,?,N40E,2.86,1.51,*0.52,"충북대학교박물관, 2003",,청주
199,청주 오송(2지점),8호 토광묘,토광묘,?,N51W,2.87,0.96,*0.33,"중앙문화재연구원, 2019",,청주
238,청주 신봉동 백제고분군,A-18호분,토광묘,?,N12E,2.87,1.22,1.21,"충북대학교박물관 87, 2002",,청주
732,충주 금릉동,22호 토광묘,토광묘,토광,N45W,2.87,0.9,0.74,"충북대학교박물관 112, 2004",,충주
748,충주 금릉동,36호 토광묘,토광묘,목관,N25W,2.87,0.97,0.41,"충북대학교박물관 112, 2004",,충주
1381,아산 명암리 밖지므레(3지점),10호 주구토광묘,토광묘,목관,N172S,2.87,0.96,*0.15,"충청남도역사문화연구원, 2011",,아산
